256 [1, 2, 3, 4, 5, 6, 7, 8]
256 [1, 2, 3, 4, 5, 6, 8, 7]
128 [1, 2, 3, 4, 5, 7, 6, 8]
128 [1, 2, 3, 4, 5, 7, 8, 6]
128 [1, 2, 3, 4, 5, 8, 6, 7]
128 [1, 2, 3, 4, 5, 8, 7, 6]
256 [1, 2, 3, 4, 6, 5, 7, 8]
256 [1, 2, 3, 4, 6, 5, 8, 7]
128 [1, 2, 3, 4, 6, 7, 5, 8]
128 [1, 2, 3, 4, 6, 7, 8, 5]
128 [1, 2, 3, 4, 6, 8, 5, 7]
128 [1, 2, 3, 4, 6, 8, 7, 5]
128 [1, 2, 3, 4, 7, 5, 6, 8]
128 [1, 2, 3, 4, 7, 5, 8, 6]
128 [1, 2, 3, 4, 7, 6, 5, 8]
128 [1, 2, 3, 4, 7, 6, 8, 5]
256 [1, 2, 3, 4, 7, 8, 5, 6]
256 [1, 2, 3, 4, 7, 8, 6, 5]
128 [1, 2, 3, 4, 8, 5, 6, 7]
128 [1, 2, 3, 4, 8, 5, 7, 6]
128 [1, 2, 3, 4, 8, 6, 5, 7]
128 [1, 2, 3, 4, 8, 6, 7, 5]
256 [1, 2, 3, 4, 8, 7, 5, 6]
256 [1, 2, 3, 4, 8, 7, 6, 5]
64 [1, 2, 3, 5, 4, 6, 7, 8]
64 [1, 2, 3, 5, 4, 6, 8, 7]
32 [1, 2, 3, 5, 4, 7, 6, 8]
32 [1, 2, 3, 5, 4, 7, 8, 6]
32 [1, 2, 3, 5, 4, 8, 6, 7]
32 [1, 2, 3, 5, 4, 8, 7, 6]
64 [1, 2, 3, 5, 6, 4, 7, 8]
64 [1, 2, 3, 5, 6, 4, 8, 7]
32 [1, 2, 3, 5, 6, 7, 4, 8]
32 [1, 2, 3, 5, 6, 7, 8, 4]
32 [1, 2, 3, 5, 6, 8, 4, 7]
32 [1, 2, 3, 5, 6, 8, 7, 4]
32 [1, 2, 3, 5, 7, 4, 6, 8]
32 [1, 2, 3, 5, 7, 4, 8, 6]
32 [1, 2, 3, 5, 7, 6, 4, 8]
32 [1, 2, 3, 5, 7, 6, 8, 4]
64 [1, 2, 3, 5, 7, 8, 4, 6]
64 [1, 2, 3, 5, 7, 8, 6, 4]
32 [1, 2, 3, 5, 8, 4, 6, 7]
32 [1, 2, 3, 5, 8, 4, 7, 6]
32 [1, 2, 3, 5, 8, 6, 4, 7]
32 [1, 2, 3, 5, 8, 6, 7, 4]
64 [1, 2, 3, 5, 8, 7, 4, 6]
64 [1, 2, 3, 5, 8, 7, 6, 4]
64 [1, 2, 3, 6, 4, 5, 7, 8]
64 [1, 2, 3, 6, 4, 5, 8, 7]
32 [1, 2, 3, 6, 4, 7, 5, 8]
32 [1, 2, 3, 6, 4, 7, 8, 5]
32 [1, 2, 3, 6, 4, 8, 5, 7]
32 [1, 2, 3, 6, 4, 8, 7, 5]
64 [1, 2, 3, 6, 5, 4, 7, 8]
64 [1, 2, 3, 6, 5, 4, 8, 7]
32 [1, 2, 3, 6, 5, 7, 4, 8]
32 [1, 2, 3, 6, 5, 7, 8, 4]
32 [1, 2, 3, 6, 5, 8, 4, 7]
32 [1, 2, 3, 6, 5, 8, 7, 4]
32 [1, 2, 3, 6, 7, 4, 5, 8]
32 [1, 2, 3, 6, 7, 4, 8, 5]
32 [1, 2, 3, 6, 7, 5, 4, 8]
32 [1, 2, 3, 6, 7, 5, 8, 4]
64 [1, 2, 3, 6, 7, 8, 4, 5]
64 [1, 2, 3, 6, 7, 8, 5, 4]
32 [1, 2, 3, 6, 8, 4, 5, 7]
32 [1, 2, 3, 6, 8, 4, 7, 5]
32 [1, 2, 3, 6, 8, 5, 4, 7]
32 [1, 2, 3, 6, 8, 5, 7, 4]
64 [1, 2, 3, 6, 8, 7, 4, 5]
64 [1, 2, 3, 6, 8, 7, 5, 4]
32 [1, 2, 3, 7, 4, 5, 6, 8]
32 [1, 2, 3, 7, 4, 5, 8, 6]
32 [1, 2, 3, 7, 4, 6, 5, 8]
